"name","slug","zone_id","region","url","high_season","shoulder_season","low_season"
"San Francisco Bay Area","san-francisco-bay-area","6Rx0W3Uz38N9WHVK7oTgpi","San Francisco Bay Area","https://www.surfline.com/travel/zones/san-francisco-bay-area/6Rx0W3Uz38N9WHVK7oTgpi","October-February","September, March-April","May-August"
"Santa Barbara","santa-barbara","5gC1W66RCBwJJ1FLIZqBrX","Santa Barbara","https://www.surfline.com/travel/zones/santa-barbara/5gC1W66RCBwJJ1FLIZqBrX","November-February","March-April, September-October","May-August"
"New England","new-england","6pXnF4uKQNDzkFw6UM0jVn","New England","https://www.surfline.com/travel/zones/new-england/6pXnF4uKQNDzkFw6UM0jVn","September-October","November-May","June-August"
"Ventura","ventura","2mXzuDvEKnnfdLUdtooZi9","Ventura","https://www.surfline.com/travel/zones/ventura/2mXzuDvEKnnfdLUdtooZi9","November-February","March-April, September-October","May-August"
"Santa Cruz","santa-cruz","4p07p8hm8GYt7ZDPjeX5q6","Santa Cruz","https://www.surfline.com/travel/zones/santa-cruz/4p07p8hm8GYt7ZDPjeX5q6","October-February ","March-September ","None"
"Central Portugal ","central-portugal","1r4wj5D65AEOyD4yCYcL9E","Portugal","https://www.surfline.com/travel/zones/central-portugal/1r4wj5D65AEOyD4yCYcL9E","October - March ","September & April - May","Jun - August"
"San Diego","san-diego","6XF16sAt5OMfYwl5rt1IQw","San Diego","https://www.surfline.com/travel/zones/san-diego/6XF16sAt5OMfYwl5rt1IQw","November-February","March-April, September-October ","May-August "
"North Los Angeles ","north-los-angeles","33CswE0ZerBxijuiUYDGaq","North Los Angeles ","https://www.surfline.com/travel/zones/north-los-angeles/33CswE0ZerBxijuiUYDGaq","May-October","November, March-April ","December-February "
"Southeast","southeast","6CIc8sUE0GvNDFc4FQL0Io","Southeast","https://www.surfline.com/travel/zones/southeast/6CIc8sUE0GvNDFc4FQL0Io","August-November","December-April","May-July"
"Central California","central-california","5mVd18FSFyqgXG8tjEG004","Central California","https://www.surfline.com/travel/zones/central-california/5mVd18FSFyqgXG8tjEG004","October-February ","September, March-April ","May-August "
"South Los Angeles","south-los-angeles","3qNV8r2LuWDMFZ37iyfGjj","South Los Angeles ","https://www.surfline.com/travel/zones/south-los-angeles/3qNV8r2LuWDMFZ37iyfGjj","November-April","May, September-October","June-August"
"New Jersey","new-jersey","30sW78yZns0uDbA2rFb49f","New Jersey","https://www.surfline.com/travel/zones/new-jersey/30sW78yZns0uDbA2rFb49f","September-October","November-May","June-August"
"New York","new-york","oLs7rGeOPp53FERlD37K4","New York","https://www.surfline.com/travel/zones/new-york/oLs7rGeOPp53FERlD37K4","September-October","November-May","June-August"
"Delmarva","delmarva","7uLayS8NUeH6gAmp3Ue52P","Delmarva","https://www.surfline.com/travel/zones/delmarva/7uLayS8NUeH6gAmp3Ue52P","September-October","November-May","June-August"
"Florida","florida","4HC4DUuIygMif2yuH5YQYm","Florida","https://www.surfline.com/travel/zones/florida/4HC4DUuIygMif2yuH5YQYm","September-March","April-May, August","June-July"
"Outer Banks North Carolina","outer-banks-north-carolina","2kUMyScJq0lBHQFMFQIiLB","Outer Banks North Carolina","https://www.surfline.com/travel/zones/outer-banks-north-carolina/2kUMyScJq0lBHQFMFQIiLB","September-November"," December-April","May-August"
"Orange County","orange-county","15fPNHerH5Bn0uTYT7AW1Y","Orange County","https://www.surfline.com/travel/zones/orange-county/15fPNHerH5Bn0uTYT7AW1Y","May-February","March-April","None"
"West Bali","west-bali","7FaOcqkWKyz2Z4JnWnC9c9","Bali","https://www.surfline.com/travel/zones/west-bali/7FaOcqkWKyz2Z4JnWnC9c9","May - September","April & October","November - March"
"The Mentawais","the-mentawais","1XvP2vpOfuvFMiAHIaNUOT","The Mentawais","https://www.surfline.com/travel/zones/the-mentawais/1XvP2vpOfuvFMiAHIaNUOT","May - September","March - April & October - November","December - February"
"North Maui","north-maui","20ZlfiNvOe0A2MKpihmiwf","Hawaii","https://www.surfline.com/travel/zones/north-maui/20ZlfiNvOe0A2MKpihmiwf","December - February","March - April & October - November","May - September"
"South Maui","south-maui","2G4q8STMRMXjglxBIZETgH","Hawaii","https://www.surfline.com/travel/zones/south-maui/2G4q8STMRMXjglxBIZETgH","May - August","March - April & September - October","November - February"
"Northwest Puerto Rico","northwest-puerto-rico","5HW2GezyPDMK0WtILfhNdM","Puerto Rico","https://www.surfline.com/travel/zones/northwest-puerto-rico/5HW2GezyPDMK0WtILfhNdM","November - February","September - October & March - May","June - August"
